Lost Art ID;Hersteller/Künstler/Autor:in;Datierung;Beschreibung;namen_neu;Q_Nummer;lat0;long0;lat1;long1;lat2;long2;lat3;long3;lat4;long4;lat5;long5
579001;Hamilton, Johann Georg de [Künstler:in];1700/1730 [Datierung];"Literatur: Johann Georg de Hamilton (1672-1737) Malíř zvířat a lidí, Ludmila Ourodová-Hronková (ISBN 978-80-85033-66-3), mit Abb.; The Hamilton Brothers- aristocratic hunting paintings in the 18th Century“, Ludmila Ourodová-Hronková (ISBN 978-80-85033-73-1), mit Abb.";Johann Georg de Hamilton;Q12059431;52.516667;13.383333;52.516666666;13.383333333;50.846666666;4.351666666;48.208333333;16.3725;null;null;null;null
578988;Hamilton, Johann Georg de [Künstler:in];1705 [Datierung];"Literatur: Johann Georg de Hamilton (1672-1737) Malíř zvířat a lidí, Ludmila Ourodová-Hronková (ISBN 978-80-85033-66-3), mit Abb.; The Hamilton Brothers- aristocratic hunting paintings in the 18th Century“, Ludmila Ourodová-Hronková (ISBN 978-80-85033-73-1), mit Abb.";Johann Georg de Hamilton;Q12059431;52.516667;13.383333;52.516666666;13.383333333;50.846666666;4.351666666;48.208333333;16.3725;null;null;null;null
308752;Tiepolo, Giovanni Battista [Künstler:in];;"Die heilige Anna in hellgrauem Kopftuch neigt sich zu der blonden, blauäugigen Maria, die sie auf den Armen hält. Das Kind ist mit einem leuchtend blauen Mantel bekleidet und hält einen Vogel in der linken Hand. Hellblauer Hintergrund. Goldener Rahmen. Gutachten: Alexandre Benois, Marius Paulme, Voß (""...charakteristische eigenständige Schöpfung des G.B. Tiepolo aus der reifen Zeit seines Schaffens...Einfachheit der Erfindung und Kühnheit der Kontrastwirkung vereinigen sich mit dem unvergleichlichen Zauber der Tierpolesken Palette zu einem Werke von seltener Geschlossenheit und Stärke des Eindruckes."") 24.10.28. Aus venezianischem Besitz.";Giovanni Battista Tiepolo;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
586407;Haanen, Remigius Adrianus van [Künstler:in];;signiert;Remigius Adrianus van Haanen;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
596165;"Toorenvliet, Jacob (?) [Künstler:in]
Monogrammist J.T.vliet, J.T. Vliet (?) [Künstler:in]";;"auf der Rückseite Aufkleber mit Inventarnummer und Siegel; vier Kavaliere, um einen Tisch gruppiert. Zwei spielen Karten, die beiden anderen rauchen und schauen zu";;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
589420;Slevogt, Max [Künstler:in];1907 [Datierung];"signiert (unten rechts); „In diesem Abenteuer begegnet Don Quichotte einem Transport, mit dem ein wilder Löwe zum König gebracht werden soll. ‚Ist dieser Löwe stark und mutig genug, um sich mit mir im Kampf zu messen?‘ ruft der hagere Ritter, der sein Schwert gezogen hat. ‚Öffnet das Gitter und zieht Euch zurück.‘ Der Löwe war dumpf brüllend aus seinem Käfig gesprungen, um sich im Sprung auf sein Opfer zu stürzen. Doch dann ein unerwarteter Ausgang, Rosinante galoppiert auf die Bestie zu und der Löwe schleicht sich mit eingezogenem Schwanz zurück in den Käfig und kein Schimpfen oder Schmähen kann den König der Wüste wieder zum Kampf bewegen. Diesen unerwarteten Moment hat Slevogt dargestellt, Raubtier und Ritter sind wie erstarrt, nur das Schwert und der Schwanz der Kontrahenten bewegen sich noch“. (UW)";Max Slevogt;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
444921;Liebermann, Max [Künstler:in];1880 [Datierung];Nachlass-Stempel;Max Liebermann;Q158062;52.516667;13.383333;42.5;12.5;52.516666666;13.383333333;52.366666666;4.883333333;51.225555555;6.776666666;48.1375;11.575
578998;Hamilton, Johann Georg de [Künstler:in];1711 [Datierung];Literatur: Johann Georg de Hamilton (1672-1737) Malíř zvířat a lidí, Ludmila Ourodová-Hronková (ISBN 978-80-85033-66-3), mit Abb.;Johann Georg de Hamilton;Q12059431;52.516667;13.383333;52.516666666;13.383333333;50.846666666;4.351666666;48.208333333;16.3725;null;null;null;null
308018;Netscher, Caspar [Künstler:in];;Ein vornehm gekleideter Herr ist zur Terrasse eines Luftschlosses emporgestiegen, wo er von einer weiß gekleideten Dame mit blauer, goldgestickter Schürze mit einem Glas Wein empfangen wird. Links hinten Tisch mit Perserdecke, auf dem eine Dienerin Wein Eingießt. Im Halbdunkel Lakai mit Windhund. Ausblick auf Garten. Goldrahmen. Versteigerung H. G. Nahuys van Burgst, Antwerpen, 13. September 1858. Nr. 1.;Caspar Netscher;Q217715;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
527259;Köhler, Gustav [Künstler:in];;signiert, ein Bauer berichtet einer am Tisch sitzenden Versammlung von einem interessanten Geschehnis;Gustav Köhler;Q1556122;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
579025;Hamilton, Johann Georg de [Künstler:in];1700/1725 [Datierung];"Literatur: Johann Georg de Hamilton (1672-1737) Malíř zvířat a lidí, Ludmila Ourodová-Hronková (ISBN 978-80-85033-66-3), mit Abb.; The Hamilton Brothers- aristocratic hunting paintings in the 18th Century“, Ludmila Ourodová-Hronková (ISBN 978-80-85033-73-1), mit Abb.";Johann Georg de Hamilton;Q12059431;52.516667;13.383333;52.516666666;13.383333333;50.846666666;4.351666666;48.208333333;16.3725;null;null;null;null
583689;Vollerdt, Johann Christian [Künstler:in];1761 [Datierung];bezeichnet: Vollerdt 1761;Johann Christian Vollerdt;Q3808839;52.516667;13.383333;51.05;13.74;null;null;null;null;null;null;null;null
591210;Matejko, Jan [Künstler:in];;;Jan Matejko;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
595978;Goya y Lucientes, Francisco José de [Künstler:in];;"Bettlerin in ganzer Figur vor tiefem Horizont in einer Landschaft; auf der Rückseite Aufkleber mit Inventarnummer und Siegel";Francisco José de Goya y Lucientes;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
578991;Hamilton, Johann Georg de [Künstler:in];1705 [Datierung];Literatur: Johann Georg de Hamilton (1672-1737) Malíř zvířat a lidí, Ludmila Ourodová-Hronková (ISBN 978-80-85033-66-3), mit Abb.;Johann Georg de Hamilton;Q12059431;52.516667;13.383333;52.516666666;13.383333333;50.846666666;4.351666666;48.208333333;16.3725;null;null;null;null
576186;Rijn, Rembrandt Harmensz. van [Künstler:in];;Beginnende Dämmerung im Walde, wo ein Mädchen an der Quelle Wasser schöpft.;Rembrandt Harmensz van Rijn;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
592009;Klimt, Gustav [Künstler:in];1898 [Datierung];"nach Weidinger, Nr. 117: Philosophie (Kompositionsentwurf), Datierung: 1898, Format: unbekannt, Technik: Öl auf Leinwand, bez. r. U.: »GUSTAV / KLIMT"" , Provenienz: O. Miethke, Wien; August und Serena Lederer, Wien (erw, 1905); Erich Lederer, Genf; Ausstellungen: Wien (Neue Galerie, XXIII. Ausst.} 1926 (ohne Kat.}; Wien (Secession) 1936, Nr. 3a";Gustav Klimt;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
594413;Opie, John [Künstler:in];;;John Opie;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
579002;"Hamilton, Johann Georg de (?) [Künstler:in]
Hamilton, Philipp Ferdinand de (?) [Künstler:in]";1700/1730 [Datierung];"Literatur: Johann Georg de Hamilton (1672-1737) Malíř zvířat a lidí, Ludmila Ourodová-Hronková (ISBN 978-80-85033-66-3), mit Abb.; The Hamilton Brothers- aristocratic hunting paintings in the 18th Century“, Ludmila Ourodová-Hronková (ISBN 978-80-85033-73-1), mit Abb.";;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
592018;Klimt, Gustav [Künstler:in];1900-1907 [Datierung];"nach Weidinger, Nr. 138: Philosophie, Datierung: 1900-1907, Format: 430 x 300 cm, Technik: Öl auf Leinwand, bez. r. U.: ""GUSTAV KLIMT"", Provenienz: K. K. Ministerium für Unterricht, Wien (in Auftrag gegeben am 4. Sept. 1894; von Klimt zurückgekauft am 25. Mai 1905); August und Serena Lederer; Wien (1905 erw.); Erich Lederer, Genf; Österreichische Galerie, Wien (1944 erw.)Ausstellungen: Wien (secession, VII. Ausst.) 1900, Nr. 22 (nur bis Ende März ausgestellt); Paris (Weltausst.) 1900, Secession-Saal, Nr. 5; Dresden (Internationale Kunstausst.) 1901, Nr. 353; Wien (secession, XVIII. Ausst.) 1903104, Nr. 23; Berlin (Kunsthandlung Keller & Reiner) 1907 (ohne Kat.); Wien (Galerie Miethke) 1907 (ohne Kat.); Wien (Ausstellungshaus Friedrichstraße, ehemalige Secession) 1943, Nr. 6 (Abb. 6), Skizzen: Strobl, I, Nr. 455-488; Strobl, IV, Nr. 3334-3364";Gustav Klimt;Q34661;52.516667;13.383333;51.507222222;-0.1275;50.846666666;4.3525;45.439722222;12.331944444;48.208333333;16.3725;43.771388888;11.254166666
584747;Flinck, Govert [Künstler:in];1649 [Datierung];Signiert und datiert rechts: 1649;Govert Flinck;Q550401;52.516667;13.383333;52.366666666;4.883333333;51.79;6.14;53.2;5.783333333;null;null;null;null
576177;"Teniers, David (1) (?) [Künstler:in]
Teniers, David (2) (?) [Künstler:in]
Teniers, David (3) (?) [Künstler:in]";;signiertQuelle: WGA Akte;;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
584919;Longhi, Alessandro [Künstler:in];;auf der Rückseite Aufkleber mit Inventarnummer und Siegel;Alessandro Longhi;Q1855242;52.516667;13.383333;45.439722222;12.331944444;null;null;null;null;null;null;null;null
583695;Witt, Jacob de [Künstler:in];;Ein in Grisaille gemalter Fries spielender und musizierender Kinderputten. Links an einem Tisch sitzen musizierende Putten mit Trommel, Geige und Schalmei. In der Mitte tanzende Putten. Rechts Putten mit Attributen der Landwirtschaft und der Jagd, versammelt um ein Schaf mit einem Lamm, unbezeichnet;Jacob de Witt;Q935131;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
534363;Langhammer, Carl (1868) [Künstler:in];;Quelle: PL - AP Wrocław, RW, I/16886.;Carl Langhammer;Q1039370;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
578995;Hamilton, Johann Georg de [Künstler:in];1706 [Datierung];Literatur: Johann Georg de Hamilton (1672-1737) Malíř zvířat a lidí, Ludmila Ourodová-Hronková (ISBN 978-80-85033-66-3), mit Abb.;Johann Georg de Hamilton;Q12059431;52.516667;13.383333;52.516666666;13.383333333;50.846666666;4.351666666;48.208333333;16.3725;null;null;null;null
595981;Hals, Frans (2) [Künstler:in];;auf der Rückseite Aufkleber mit Inventarnummer und Siegel;Frans Hals;Q167654;52.516667;13.383333;52.380277777;4.640555555;51.221111111;4.399722222;null;null;null;null;null;null
472405;Troyon, Constant [Künstler:in];;"u. l. Stempel der ""Vente Troyon""";Constant Troyon;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
580685;Signac, Paul [Künstler:in];;;Paul Signac;Q151573;52.516667;13.383333;51.45;3.583333333;51.92;4.48;52.499444444;5.0675;51.935;4.42944;null;null
534390;Bertram-Hartmann, C. [Künstler:in];1912 [Datierung];Quelle: PL - AP Wrocław, RW, I/16886.;C Bertram-Hartmann;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
576181;Rombouts, Adriaen [Künstler:in];;signiertQuelle: WGA Akte;Adriaen Rombouts;Q41308510;52.516667;13.383333;50.846666666;4.351666666;null;null;null;null;null;null;null;null
308762;Wilson, Richard [Künstler:in];;Am Rande eines Wasserlaufes in der Mitte vorn zwei sitzende Frauen im Gespräch mit einem stehenden Ritter, der ein rotes Gewand und eine rote Kappe trägt. Am Boden liegt eine Laute. Rechts felsiges Ufer mit Waldpartie, links im Mittelgrund ein Wasserfall. In der Ferne ein Gebirge, das von der untergehenden Sonne beschienen wird. Goldener Rahmen.;Richard Wilson;Q358679;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
583587;Deußer, August [Künstler:in];;bezeichnet;August Deußer;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
308755;Tischbein, Johann Heinrich (der Ältere) [Künstler:in];;"Lebensgroßes Doppelbildnis, Kniestück. Die Dame am Tisch sitzend, in Silbergrau und Blau, ihr Gemahl hinter ihr stehend in goldgelber Weste mit dunkelgrauem Rock; als Abschluß mattweinroter Vorhang. Auf der Rückseite die zeitgenössische Inschrift: ""Friedrich v. Eyben, Geh. Rat in Nassau-Oranischen Diensten, 1754 Minister in Hessen-Kassel, starb auf seinen Gütern in Mecklenburg, und seine Gemahlin geb. Gräfin Görz, Tochter des 1719 zu Stockholm enthaupteten Grafen Görz.""; Goldener Rahmen.";Johann Heinrich Tischbein the Elder;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
583625;Lucas, Willy [Künstler:in];;bezeichnet;Willy Lucas;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
257581;Schmidt-Rottluff, Karl [Künstler:in];1922 [Datierung];;Karl Schmidt-Rottluff;Q161143;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
527251;Hughtenburg, C. v. [Künstler:in];1700 (um) [Datierung];signiert;C v Hughtenburg;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
308045;Wouwerman, Philips [Künstler:in];;"Hirsch und Hindin stürzen sich, von Hunden verfolgt, in einen Fluß, an dessen rechtem Ufer sie von zwei mit Speeren bewaffneten Jägern erwartet werden. Den Tieren folgen eine berittene Dame und ein Herr, der im Begriff ist ins Wasser zu fallen. Links ein weiterer Jäger zu Pferd und ein Diener. Gebirgige Landschaft mit Felsschloß und Landhäusern. Unten etwa 3 cm angestückt. Goldrahmen. Ehemals Petersburg, Eremitage. Kat. 1901, Nr. 1036 (aus Sammlung Graf Brühl). Bezeichnet links unten mit Monogramm. Gestochen: Moyreau, 1747. Nr. 56 als ""L´accident du chasseur"", und von Tischler.";Philips Wouwerman;Q454671;52.516667;13.383333;53.55;10.0;52.380277777;4.640555555;null;null;null;null;null;null
579034;Philippot, Charles Louis [Künstler:in];1852 [Datierung];Literatur: Hrady a Zámky, Petr Pavelec (ed.) (ISBN 978-80-87890-05-9), mit Abb.;Charles Louis Philippot;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
581589;Meyerheim, Friedrich Eduard [Künstler:in];1844 [Datierung];Damenbildnis, Kniestück, in weißem Biedermeierkostüm, vor Landschaft sitzend. Rechts unten bezeichnet: E. Meyerheim 1844;Friedrich Eduard Meyerheim;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
583903;Aertsen, Pieter [Künstler:in];;"auf der Rückseite Aufkleber mit Inventarnummer und Siegel (siehe PDF ""GoudstikkerArtResearchProject.PDF"")";Pieter Aertsen;Q326548;52.516667;13.383333;52.366666666;4.883333333;51.221111111;4.399722222;null;null;null;null;null;null
586852;Nemec, Karel (1879) [Künstler:in];;;Karel Nemec;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
586857;Sturm-Skrla, Egge [Künstler:in];;;Egge Sturm-Skrla;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
580673;Schmidt, Wilhelm [Künstler:in];;;Wilhelm Schmidt;Q62827;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
449597;Max, Columbus Josef [Künstler:in];1918 [Datierung];rechts unten bezeichnet: C. Max 1918;Columbus Josef Max;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
583917;"Beerstraten, Abraham (der Ältere) [Künstler:in]
Looten, Jan [Künstler:in]
Beerstraten, Jan Abrahamsz (1622 - der Ältere) [Künstler:in]";;"signiert, auf der Rückseite Aufkleber mit Inventarnummer und Siegel (siehe PDF ""GoudstikkerArtResearchProject.PDF"")";;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
275980;Hodler, Ferdinand [Künstler:in];1879/1880 [Datierung];"Aarelandschaft bei Thun; bez. unten rechts: 1880. F. Hodler, darunter ältere Signatur: Ferd. Hodler, am rechten Bildrand Spuren der originalen Signatur: F. HOD [...] Literatur: Oskar Bätschmann/Paul Müller, Ferdinand Hodler: Catalogue raisonné der Gemälde. Band 1: Die Landschaften, Zürich, 2008 (Nr. 83, Abb. S. 51)";Ferdinand Hodler;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
583124;Victors, Jan [Künstler:in];1601/1700 [Datierung];Die auf dem Gemälde dargestellte biblische Szene rekurriert auf das sogenannte Alte Testament: Buch Esther 6,7-11. Der Jude Mardochai wird mit königlichem Gewand und Kopfschmuck ausgestattet, auf einem Pferd reitend, durch die Straßen geführt und geehrt.;Jan Victors;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
527249;Lambrechts, Jan Baptist [Künstler:in];;Gegenstücke;Jan Baptist Lambrechts;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
308696;Heusch, Abraham de [Künstler:in];;Auf einem Marmortisch mit zurückgeschlagener roter Decke steht eine blaue Schüssel mit Pfirsichen und einer Orange. Davor eine Flöte und Rosen. Daneben auf einem zinnernen Teller ein Römer, über dessen Rand eine Zitronenschale herabhängt, und Weintrauben. Dahinter ein irdener Krug. Im Mittelgrund ein herabwallender blauer Vorhang und der Fuß einer Säule. Links Ausblick auf bewaldete Ferne. Bezeichnet A. de Heusch f. Holzrahmen.;Abraham de Heusch;Q4669273;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
591196;;;;;Q85221364;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
583630;Moucheron, Frederick de [Künstler:in];;Mit Engelsburg, St. Peter und Tiberbrücke mit Figurenstaffage, unbezeichnet;Frederick de Moucheron;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
580687;Monticelli, Adolphe Joseph Thomas (?) [Künstler:in];;;Adolphe Joseph Thomas Monticelli (?);Q1152965;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
308693;Hagen, Joris van der [Künstler:in];;In der weiten Ebene links die Stadt Amersfoort. Im Vordergrund Reiter vor einem Zelt. Im Mittelgrund Häuser zwischen Bäumen und in der Ferne Anhöhen. Blauer Wolkenhimmel. Goldener Rahmen.;Joris van der Hagen;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
586959;Becker, Anton [Künstler:in];;Bezeichnet: A. Becker. G.R.;Anton Becker;Q588221;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
582641;Belay, Pierre de [Künstler:in];;kleines Gemälde, bezeichnet;Pierre de Belay;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
586788;Beran, Paul [Künstler:in];;;Paul Beran;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
308760;Michieli, Andrea [Künstler:in];;In einem mit Statuten reich verzierten Renaissancesaal sitzen im Hintergrund erhöht auf Stufen die rot gekleideten Dogen. Vor ihnen in der Mitte auf einem Sessel sitzend ein vornehmer Herr, der die Züge Karls V. trägt, und der einem dunkel gekleideten Greis eine Schrift mit einem Siegel überreicht. Zu beiden Seiten vornehm gekleidete Zuschauer. Goldener Rahmen. Aus englischem Besitz.;Andrea Michieli;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
591212;;;;;Q85221364;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
527266;Ruisdael, Jacob Isaackszoon van (Kreis des) [Künstler:in];1651/1700 [Datierung];Zur Rechten Gruppe alter Eichen, im Flußbett große Felsblöcke, links auf dem Steilufer ein Tannenwäldchen;Jacob Isaackszoon van Ruisdael (?);;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
584759;Ghislandi, Fra Vittore [Künstler:in];;;Fra Vittore Ghislandi;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
579005;Hamilton, Johann Georg de [Künstler:in];1730 [Datierung];Literatur: Johann Georg de Hamilton (1672-1737) Malíř zvířat a lidí, Ludmila Ourodová-Hronková (ISBN 978-80-85033-66-3), mit Abb.;Johann Georg de Hamilton;Q12059431;52.516667;13.383333;52.516666666;13.383333333;50.846666666;4.351666666;48.208333333;16.3725;null;null;null;null
595985;Heda, Gerrit Willemsz. (Art des) [Künstler:in];;"Krebs auf steinerner Tischplatte. Olivgrüner Hintergrund; auf der Rückseite Aufkleber mit Inventarnummer und Siegel";Gerrit Willemsz Heda (?);;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
589411;Slevogt, Max [Künstler:in];1900 [Datierung];"bez: M. Slevogt (oben rechts). Rückseitig mit grünem Stift Besitzerangabe mit ""Fuchs"" bezeichnet;„Zwei Vitrinen, wahrscheinlich aus einem naturkundlichen Museum, zeigen ausgestopfte Paradiesvögel. Vor der ersten ist noch eine Trompetenmuschel platziert. „Tief in den Regenwäldern der großen Insel Neuguinea leben die „schönsten und außergewöhnlichsten gefiederten Bewohner der Erde“ schrieb der berühmte britische Naturforscher Alfred Russel Wallace, als er Mitte des 19. Jahrhunderts auf seiner Südostasien-Reise zum ersten Mal Paradiesvögel beobachtete. Kein Tier der Welt veranstaltet einen so feurigen Balztanz wie das Paradiesvogel-Männchen. Diese schillernden Exoten sind mit unseren Krähen verwandt“. (UW) „Eines der schönsten Bilder (der) letzten Münchner Zeit (…) sind die ‚Paradiesvögel’ von 1900, ein Juwel der stattlichen Reihe bester Werke Slevogts, welche die Sammlung Fuchs besitzt“, schreibt W. von Alten im „Kunstblatt“ von 1926.";Max Slevogt;Q703356;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
583624;Liscewsky (Familie) [Künstler:in];;unbezeichnet;Liscewsky Familie;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
527252;Tamm, Franz Werner von [Künstler:in];;rechts unten undeutlich bezeichnet;Franz Werner von Tamm;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
449605;"Magnasco, Alessandro (auch zugeschrieben) [Künstler:in]
Titius, ? [Künstler:in]";;Lichter Wald, rechts zwei Männer an einem Feuer, rechts unten bezeichnet: Titius;;;52.516667;13.383333;null;null;null;null;null;null;null;null;null;null
