Lost Art ID;Hersteller/Künstler/Autor:in;Titel;Datierung;Beschreibung;namen_neu;Q_Nummer;datum_neu;anzahl_artworks
435705;Slevogt, Max [Künstler:in];Don Quichotte und die Schafherde;1907 [Datierung];"bez.: Slevogt 07 (unten links); Gemälde mit altem geschnitztem Goldrahmen;„Bei Cassirer gibt Slevogt neue Belege seines Schaffens. Wieder erfreut er durch die Leichtigkeit, die allen seinen Werken den Stempel gibt und die in seinen Improvisationen ihren höchsten Reiz entfalten. Sein Don Quichotte, wie er sich anschickt, gegen die Schafherde Sturm zu rennen, ist fast im Stil einiger seiner bekannten Skizzenbuchblätter nur so auf die Leinwand geworfen und dabei doch ganz in sich vollendet. Ein Ausschnitt packender Ursprünglichkeit“(Michels, Wilhelm: Berliner Neueste Nachrichten vom 20.02.1908)";Max Slevogt;;1907;19.0
594432;Saftleven, Herman [Künstler:in];Fantasielandschaft;;mit ruinenhafter Architektur;Herman Saftleven;;;2.0
583644;Pfannschmidt, Ernst [Künstler:in];Zwei spielende Kinder;;bezeichnet;Ernst Pfannschmidt;Q1359755;;1.0
576182;Rombouts, Adriaen [Künstler:in];Spielende Bauern bei Karten und Bier;;signiertQuelle: WGA Akte;Adriaen Rombouts;;;2.0
586409;Kretschmer, H. [Künstler:in];Mädchenbildnis;1880 (um) [Datierung];;H Kretschmer;;1880 (?);1.0
594403;Graff, Anton [Künstler:in];Brustbild eines jungen Mannes;;;Anton Graff;Q310213;;4.0
308032;Son, Joris van [Künstler:in];Blumenstück;;Dunkler Rahmen, in dem ein Strauß roter, weißer und rosa Blumen und Früchte vor schwarzem Grunde sichtbar wird. In den oberen Ecken blaue Seidenschleifen. Goldrahmen.;Joris van Son;Q6183727;;1.0
527250;Gauermann, F. [Künstler:in];Zwei Landschaften mit Vieh;1827 [Datierung];signiert und datiert, Gegenstücke;F Gauermann;;1827;1.0
5000000439;Bol, Ferdinand (wohl Kopie nach) [Künstler:in];Eine junge Frau mit drei Kindern als Caritas;;;Ferdinand wohl Bol (?);;;1.0
275988;Liebermann, Max [Künstler:in];Altmännerhaus;1880 [Datierung];Altmännerhaus in Amsterdam - Studie;Max Liebermann;;1880;28.0
573854;Brusasorzi, Domenico [Künstler:in];Madonna;;Madonna mit dem Jesuskind und Engeln. In der Bildmitte sitzt die große Kniefigur der Madonna in hellrosa Kleid, himmelblauem Mantel und weißem, bläulich changierendem Kopftuch, an einen Felsen gelehnt, das schlafende, nackte Jesuskind auf weißer Windel vor sich haltend. Sankt Joseph links, violett und orangefarben gekleidet, und zwei Engel rechts in rötlich-orangefarbenen bzw. blauen Kleidern, flankieren die Mittelgruppe. Hinten wird in einer Lücke zwischen den Personen der Kopf eines Rindes sichtbar. Quelle: Lempertz Auktion, Gemälde Alter Meister, Porzellan / Fayence, Katalog 403, Lot 5;Domenico Brusasorzi;;;1.0
576184;Quast, Pieter Jansz. [Künstler:in];Szenen aus dem Bauernleben;;signiertQuelle: WGA Akte;Pieter Jansz Quast;;;2.0
579001;Hamilton, Johann Georg de [Künstler:in];Mastiff Hündin;1700/1730 [Datierung];"Literatur: Johann Georg de Hamilton (1672-1737) Malíř zvířat a lidí, Ludmila Ourodová-Hronková (ISBN 978-80-85033-66-3), mit Abb.; The Hamilton Brothers- aristocratic hunting paintings in the 18th Century“, Ludmila Ourodová-Hronková (ISBN 978-80-85033-73-1), mit Abb.";Johann Georg de Hamilton;Q12059431;1700;43.0
308752;Tiepolo, Giovanni Battista [Künstler:in];Die heilige Anna mit der heiligen Maria;;"Die heilige Anna in hellgrauem Kopftuch neigt sich zu der blonden, blauäugigen Maria, die sie auf den Armen hält. Das Kind ist mit einem leuchtend blauen Mantel bekleidet und hält einen Vogel in der linken Hand. Hellblauer Hintergrund. Goldener Rahmen. Gutachten: Alexandre Benois, Marius Paulme, Voß (""...charakteristische eigenständige Schöpfung des G.B. Tiepolo aus der reifen Zeit seines Schaffens...Einfachheit der Erfindung und Kühnheit der Kontrastwirkung vereinigen sich mit dem unvergleichlichen Zauber der Tierpolesken Palette zu einem Werke von seltener Geschlossenheit und Stärke des Eindruckes."") 24.10.28. Aus venezianischem Besitz.";Giovanni Battista Tiepolo;;;3.0
586407;Haanen, Remigius Adrianus van [Künstler:in];Meerlandschaft;;signiert;Remigius Adrianus van Haanen;;;2.0
308018;Netscher, Caspar [Künstler:in];Gesellschaftsszene;;Ein vornehm gekleideter Herr ist zur Terrasse eines Luftschlosses emporgestiegen, wo er von einer weiß gekleideten Dame mit blauer, goldgestickter Schürze mit einem Glas Wein empfangen wird. Links hinten Tisch mit Perserdecke, auf dem eine Dienerin Wein Eingießt. Im Halbdunkel Lakai mit Windhund. Ausblick auf Garten. Goldrahmen. Versteigerung H. G. Nahuys van Burgst, Antwerpen, 13. September 1858. Nr. 1.;Caspar Netscher;Q217715;;3.0
527259;Köhler, Gustav [Künstler:in];Die Neuigkeit;;signiert, ein Bauer berichtet einer am Tisch sitzenden Versammlung von einem interessanten Geschehnis;Gustav Köhler;Q1556122;;1.0
583689;Vollerdt, Johann Christian [Künstler:in];Romantische Landschaft;1761 [Datierung];bezeichnet: Vollerdt 1761;Johann Christian Vollerdt;Q3808839;1761;1.0
591210;Matejko, Jan [Künstler:in];Ohne Titel;;;Jan Matejko;;;1.0
595978;Goya y Lucientes, Francisco José de [Künstler:in];Bedelarese / Bettlerin;;"Bettlerin in ganzer Figur vor tiefem Horizont in einer Landschaft; auf der Rückseite Aufkleber mit Inventarnummer und Siegel";Francisco José de Goya y Lucientes;;;4.0
576186;Rijn, Rembrandt Harmensz. van [Künstler:in];Quelle im Wald;;Beginnende Dämmerung im Walde, wo ein Mädchen an der Quelle Wasser schöpft.;Rembrandt Harmensz van Rijn;;;2.0
592009;Klimt, Gustav [Künstler:in];Skizze zur Philosophie (Kompositionsentwurf);1898 [Datierung];"nach Weidinger, Nr. 117: Philosophie (Kompositionsentwurf), Datierung: 1898, Format: unbekannt, Technik: Öl auf Leinwand, bez. r. U.: »GUSTAV / KLIMT"" , Provenienz: O. Miethke, Wien; August und Serena Lederer, Wien (erw, 1905); Erich Lederer, Genf; Ausstellungen: Wien (Neue Galerie, XXIII. Ausst.} 1926 (ohne Kat.}; Wien (Secession) 1936, Nr. 3a";Gustav Klimt;;1898;17.0
594413;Opie, John [Künstler:in];Bildnis einer vornehmen jungen Frau;;;John Opie;;;1.0
584747;Flinck, Govert [Künstler:in];Portret van een her / Herrenporträt;1649 [Datierung];Signiert und datiert rechts: 1649;Govert Flinck;Q550401;1649;4.0
584919;Longhi, Alessandro [Künstler:in];"Mansportret; Mannerportet (in lichtrode toga) / Porträt eines Mannes";;auf der Rückseite Aufkleber mit Inventarnummer und Siegel;Alessandro Longhi;Q1855242;;3.0
583695;Witt, Jacob de [Künstler:in];Puttenfries;;Ein in Grisaille gemalter Fries spielender und musizierender Kinderputten. Links an einem Tisch sitzen musizierende Putten mit Trommel, Geige und Schalmei. In der Mitte tanzende Putten. Rechts Putten mit Attributen der Landwirtschaft und der Jagd, versammelt um ein Schaf mit einem Lamm, unbezeichnet;Jacob de Witt;Q935131;;1.0
595981;Hals, Frans (2) [Künstler:in];Jonge met hoed / Junge mit Hut;;auf der Rückseite Aufkleber mit Inventarnummer und Siegel;Frans Hals;Q167654;;1.0
472405;Troyon, Constant [Künstler:in];Kuh auf der Weide (Vache sur un paturage);;"u. l. Stempel der ""Vente Troyon""";Constant Troyon;;;1.0
580685;Signac, Paul [Künstler:in];Strasse;;;Paul Signac;Q151573;;2.0
534390;Bertram-Hartmann, C. [Künstler:in];Birken;1912 [Datierung];Quelle: PL - AP Wrocław, RW, I/16886.;C Bertram-Hartmann;;1912;1.0
308762;Wilson, Richard [Künstler:in];Landschaft;;Am Rande eines Wasserlaufes in der Mitte vorn zwei sitzende Frauen im Gespräch mit einem stehenden Ritter, der ein rotes Gewand und eine rote Kappe trägt. Am Boden liegt eine Laute. Rechts felsiges Ufer mit Waldpartie, links im Mittelgrund ein Wasserfall. In der Ferne ein Gebirge, das von der untergehenden Sonne beschienen wird. Goldener Rahmen.;Richard Wilson;Q358679;;1.0
583587;Deußer, August [Künstler:in];Niederrheinische Landschaft mit Rheindampfer;;bezeichnet;August Deußer;;;2.0
308755;Tischbein, Johann Heinrich (der Ältere) [Künstler:in];Doppelbildnis von Friedrich von Eyben und seiner Gemahlin;;"Lebensgroßes Doppelbildnis, Kniestück. Die Dame am Tisch sitzend, in Silbergrau und Blau, ihr Gemahl hinter ihr stehend in goldgelber Weste mit dunkelgrauem Rock; als Abschluß mattweinroter Vorhang. Auf der Rückseite die zeitgenössische Inschrift: ""Friedrich v. Eyben, Geh. Rat in Nassau-Oranischen Diensten, 1754 Minister in Hessen-Kassel, starb auf seinen Gütern in Mecklenburg, und seine Gemahlin geb. Gräfin Görz, Tochter des 1719 zu Stockholm enthaupteten Grafen Görz.""; Goldener Rahmen.";Johann Heinrich Tischbein the Elder;;;2.0
583625;Lucas, Willy [Künstler:in];Der Bahnhofsvorplatz in Düsseldorf;;bezeichnet;Willy Lucas;;;1.0
257581;Schmidt-Rottluff, Karl [Künstler:in];Mohn (Blumenstück);1922 [Datierung];;Karl Schmidt-Rottluff;Q161143;1922;4.0
527251;Hughtenburg, C. v. [Künstler:in];Hügellandschaft mit Hirschjagd;1700 (um) [Datierung];signiert;C v Hughtenburg;;1700 (?);1.0
308045;Wouwerman, Philips [Künstler:in];Hirschjagd;;"Hirsch und Hindin stürzen sich, von Hunden verfolgt, in einen Fluß, an dessen rechtem Ufer sie von zwei mit Speeren bewaffneten Jägern erwartet werden. Den Tieren folgen eine berittene Dame und ein Herr, der im Begriff ist ins Wasser zu fallen. Links ein weiterer Jäger zu Pferd und ein Diener. Gebirgige Landschaft mit Felsschloß und Landhäusern. Unten etwa 3 cm angestückt. Goldrahmen. Ehemals Petersburg, Eremitage. Kat. 1901, Nr. 1036 (aus Sammlung Graf Brühl). Bezeichnet links unten mit Monogramm. Gestochen: Moyreau, 1747. Nr. 56 als ""L´accident du chasseur"", und von Tischler.";Philips Wouwerman;Q454671;;4.0
579034;Philippot, Charles Louis [Künstler:in];Johann Adolf II zu Schwarzenberg;1852 [Datierung];Literatur: Hrady a Zámky, Petr Pavelec (ed.) (ISBN 978-80-87890-05-9), mit Abb.;Charles Louis Philippot;;1852;1.0
581589;Meyerheim, Friedrich Eduard [Künstler:in];Damenbildnis;1844 [Datierung];Damenbildnis, Kniestück, in weißem Biedermeierkostüm, vor Landschaft sitzend. Rechts unten bezeichnet: E. Meyerheim 1844;Friedrich Eduard Meyerheim;;1844;1.0
583903;Aertsen, Pieter [Künstler:in];Keukenstuk / Küchenszene (Küche im Freien);;"auf der Rückseite Aufkleber mit Inventarnummer und Siegel (siehe PDF ""GoudstikkerArtResearchProject.PDF"")";Pieter Aertsen;Q326548;;1.0
586852;Nemec, Karel (1879) [Künstler:in];Landschaft;;;Karel Nemec;;;3.0
586857;Sturm-Skrla, Egge [Künstler:in];Mutter mit Kind;;;Egge Sturm-Skrla;;;2.0
580673;Schmidt, Wilhelm [Künstler:in];Musikkapelle;;;Wilhelm Schmidt;Q62827;;2.0
449597;Max, Columbus Josef [Künstler:in];Kinderbildnis in Landschaft;1918 [Datierung];rechts unten bezeichnet: C. Max 1918;Columbus Josef Max;;1918;1.0
275980;Hodler, Ferdinand [Künstler:in];Am Thuner See / Aarekanal bei Thun;1879/1880 [Datierung];"Aarelandschaft bei Thun; bez. unten rechts: 1880. F. Hodler, darunter ältere Signatur: Ferd. Hodler, am rechten Bildrand Spuren der originalen Signatur: F. HOD [...] Literatur: Oskar Bätschmann/Paul Müller, Ferdinand Hodler: Catalogue raisonné der Gemälde. Band 1: Die Landschaften, Zürich, 2008 (Nr. 83, Abb. S. 51)";Ferdinand Hodler;;1879;2.0
583124;Victors, Jan [Künstler:in];Die Ehrung des Mardochai;1601/1700 [Datierung];Die auf dem Gemälde dargestellte biblische Szene rekurriert auf das sogenannte Alte Testament: Buch Esther 6,7-11. Der Jude Mardochai wird mit königlichem Gewand und Kopfschmuck ausgestattet, auf einem Pferd reitend, durch die Straßen geführt und geehrt.;Jan Victors;;1601;1.0
527249;Lambrechts, Jan Baptist [Künstler:in];Zwei Gesellschaftsszenen;;Gegenstücke;Jan Baptist Lambrechts;;;1.0
308696;Heusch, Abraham de [Künstler:in];Stilleben;;Auf einem Marmortisch mit zurückgeschlagener roter Decke steht eine blaue Schüssel mit Pfirsichen und einer Orange. Davor eine Flöte und Rosen. Daneben auf einem zinnernen Teller ein Römer, über dessen Rand eine Zitronenschale herabhängt, und Weintrauben. Dahinter ein irdener Krug. Im Mittelgrund ein herabwallender blauer Vorhang und der Fuß einer Säule. Links Ausblick auf bewaldete Ferne. Bezeichnet A. de Heusch f. Holzrahmen.;Abraham de Heusch;Q4669273;;1.0
583630;Moucheron, Frederick de [Künstler:in];Ansicht von Rom;;Mit Engelsburg, St. Peter und Tiberbrücke mit Figurenstaffage, unbezeichnet;Frederick de Moucheron;;;1.0
580687;Monticelli, Adolphe Joseph Thomas (?) [Künstler:in];Frauen und Kinder im Park;;;Adolphe Joseph Thomas Monticelli (?);Q1152965;;2.0
308693;Hagen, Joris van der [Künstler:in];Ansicht von Amersfoort;;In der weiten Ebene links die Stadt Amersfoort. Im Vordergrund Reiter vor einem Zelt. Im Mittelgrund Häuser zwischen Bäumen und in der Ferne Anhöhen. Blauer Wolkenhimmel. Goldener Rahmen.;Joris van der Hagen;;;2.0
586959;Becker, Anton [Künstler:in];Bildnis eines Dackels;;Bezeichnet: A. Becker. G.R.;Anton Becker;Q588221;;1.0
582641;Belay, Pierre de [Künstler:in];Marine;;kleines Gemälde, bezeichnet;Pierre de Belay;;;4.0
586788;Beran, Paul [Künstler:in];Porträt einer Dame;;;Paul Beran;;;2.0
308760;Michieli, Andrea [Künstler:in];Dogensitzung;;In einem mit Statuten reich verzierten Renaissancesaal sitzen im Hintergrund erhöht auf Stufen die rot gekleideten Dogen. Vor ihnen in der Mitte auf einem Sessel sitzend ein vornehmer Herr, der die Züge Karls V. trägt, und der einem dunkel gekleideten Greis eine Schrift mit einem Siegel überreicht. Zu beiden Seiten vornehm gekleidete Zuschauer. Goldener Rahmen. Aus englischem Besitz.;Andrea Michieli;;;1.0
527266;Ruisdael, Jacob Isaackszoon van (Kreis des) [Künstler:in];Landschaft mit Wasserfall;1651/1700 [Datierung];Zur Rechten Gruppe alter Eichen, im Flußbett große Felsblöcke, links auf dem Steilufer ein Tannenwäldchen;Jacob Isaackszoon van Ruisdael (?);;1651;2.0
584759;Ghislandi, Fra Vittore [Künstler:in];Damesportret (Contessa Colleoni) / Porträt einer Dame (Contessa Colleoni);;;Fra Vittore Ghislandi;;;2.0
595985;Heda, Gerrit Willemsz. (Art des) [Künstler:in];Kreeft / Hummer;;"Krebs auf steinerner Tischplatte. Olivgrüner Hintergrund; auf der Rückseite Aufkleber mit Inventarnummer und Siegel";Gerrit Willemsz Heda (?);;;1.0
583624;Liscewsky (Familie) [Künstler:in];Damenbildnis;;unbezeichnet;Liscewsky Familie;;;2.0
527252;Tamm, Franz Werner von [Künstler:in];Florabüste auf skulptiertem Steinsockel mit Blumen und Früchten;;rechts unten undeutlich bezeichnet;Franz Werner von Tamm;;;2.0
573868;Magnasco, Alessandro [Künstler:in];Kleine Landschaft;;Kleine Landschaft mit Kastell im Hintergrund. Durch die von Bäumen und Buschwerk zusammengefasste vordere Mitte, wo zwei Frauen den Schauplatz szenisch beleben, blickt man in eine klare, von weißen Wolkenballen überzogene Berglandschaft, aus deren Mitte ein schlanker Turm und ein Rundkastell ragen. Quelle: Lempertz Auktion, Gemälde Alter Meister, Porzellan / Fayence, Katalog 403, Lot 31;Alessandro Magnasco;Q516941;;4.0
574797;Nolde, Emil [Künstler:in];Im Alter;1918 [Datierung];"Literatur: National-Galerie (Hrsg.), Ausstellung neuerer deutscher Kunst aus Berliner Privatbesitz. Ausstellung April 1928. Berlin 1928; Martin Urban (Hrsg.), Emil Nolde. Werkverzeichnis der Gemälde. Volume II. 1915 - 1951. München 1990. Nr. 780Quelle: John Lowden, Hugo Herbert Buchthal. In: Proceedings of the British Academy. 105(2000), S.309-336, hier S. 312; D - ZA SMB, I/NG 719, Blatt 45; Bürgerstolz II. Kunst aus Kölner Privatbesitz. 1880 - 1952. Köln 1994. Kat. Nr. 27.";Emil Nolde;Q152788;1918;6.0
583600;Gerhardinger, C. [Künstler:in];Vorfrühlingsstimmung in Oberbayern;;bezeichnet;C Gerhardinger;;;2.0
306026;Thoma, Hans [Künstler:in];Anbetung des Christuskindes durch die Weisen aus dem Morgenland;1873 [Datierung];bez. Hans Thoma 1873;Hans Thoma;Q678094;1873;13.0
578959;Coninck, David de [Künstler:in];Hatz auf Bären;1645/1655 [Datierung];Literatur: Johann Georg de Hamilton (1672-1737) Malíř zvířat a lidí, Ludmila Ourodová-Hronková (ISBN 978-80-85033-66-3), mit Abb.;David de Coninck;Q1177351;1645;3.0
305762;Vecellio, Tiziano [Künstler:in];Jünglingsporträt;;Vor mattblauem Grunde Brustbild eines Jünglings mit langem, braunen Haar, der den Betrachter anblickt. Über einem weißen Unterkleid dunkles, gemustertes Brokatgewand.;Tiziano Vecellio;;;1.0
584364;Breitner, George Hendrik [Künstler:in];Afbraak / Demolition / Oude buurt te Amsterdam;;"Signiert; Auf der Rückseite Aufkleber mit Inventarnummer und Siegel (sh. PDF ""GoudstikkerArtResearchProject.PDF"").";George Hendrik Breitner;;;3.0
306029;Zügel, Heinrich von [Künstler:in];Kühe in der Tränke;1896 [Datierung];eine braune und eine gescheckte Kuh stehen in der Tränke, Wiesen und Bäume umgeben die Wasserstelle, bez. H. Zügel 96;Heinrich von Zügel;Q602549;1896;2.0
586521;Zoffany, Johann [Künstler:in];Portret oude Dame / Porträt einer alten Dame;;auf der Rückseite Aufkleber mit Inventarnummer und Siegel;Johann Zoffany;;;2.0
527253;Ruths, Valentin [Künstler:in];Alter Eichenwald mit Beerensammlerin;;signiert;Valentin Ruths;;;1.0
584730;David, Jacques-Louis [Künstler:in];Damesportret (schets) / Porträt einer Dame (Skizze);;;Jacques-Louis David;Q83155;;1.0
584384;Canaletto, Antonio [Künstler:in];La Place St. Marguerite / Campo S. Marin;;"Auf der Rückseite Aufkleber mit Inventarnummer und Siegel (sh. PDF ""GoudstikkerArtResearchProject.PDF"").";Antonio Canaletto;;;7.0
594416;Raeburn, Henry (1756) [Künstler:in];Brustbild des Generals Sir David Baird;;;Henry Raeburn;Q561916;;1.0
580686;Robert (?) [Künstler:in];Fiesta;;;Robert  (?);Q266309;;1.0
313629;Hoppner, John (Umkreis) [Künstler:in];Damenbildnis in Landschaft;1800 (um) [Datierung];Dreiviertelfigur nach rechts, Kopf dem Beschauer zugewandt. Großer grauer Hut auf gepuderter Perücke, schwarze Bluse, weißer Rock. Goldrahmen;John Umkreis Hoppner;;1800 (?);1.0
414719;Cézanne, Paul [Künstler:in];Apfelstillleben / Pommes sur un table;1880/81 [Datierung];Rewald Nr. 479;Paul Cézanne;Q35548;1880;3.0
582655;Renoir, Auguste [Künstler:in];Frau vor dem Spiegel (Femme se regardant dans un miroir);;bezeichnet;Auguste Renoir;Q12142552;;26.0
448981;Kallmorgen, Friedrich [Künstler:in];Hafenbild;;"Quelle: PL - AP Wrocław, RW, I/9971; I/16886.";Friedrich Kallmorgen;Q1460165;;2.0
579037;Schrotzberg, Franz [Künstler:in];Felix Schwarzenberg;1850 (vor) [Datierung];Literatur: Hrady a Zámky, Petr Pavelec (ed.) (ISBN 978-80-87890-05-9), mit Abb.;Franz Schrotzberg;;1850 vor;3.0
534373;Härtel, Albert [Künstler:in];Spaziergang am Walde auch Spaziergang im Tiergarten;1869 [Datierung];Quelle: PL - AP Wrocław, RW, I/16886.;Albert Härtel;;1869;1.0
307980;Bassano, Jacopo [Künstler:in];Krankenheilung Christi;;"Halle mit Säulen und architektonischem Hintergrund. Links vorn zwei Kranke, in der Mitte ein alter Mann, dem sich Christus zuneigt. Reiche figürliche Staffage. Rechts Treppe zu einem tempelartigen Gebäude. Goldrahmen. Ehemals Brüssel, Sammlung Amédé Prouvost. ""... wichtiges, ganz eigenhändiges Werk der Spätzeit..."".";Jacopo Bassano;;;1.0
585698;Berchem, Nicolaes van [Künstler:in];Schäferinnen (?);1620-1683 (?) [Datierung];"voll signiert, vorn links 8 Schafe, rechts 2 Schäferinnen, eine davon sitzend, vorn rechts liegender Baumstamm, links 2 hohe Bäumein der Suchliste der belgischen Regierung: „Berchem, Nicolaes van (1649 – 1672), Paysage avec bergères et moutons. (Repr. N°3), Toile, 52 x 69, Signé, Coll. Mme. T. Sichel, Brüssel 457 – 08 – 7""";Nicolaes van Berchem;;1620;2.0
585637;Steen, Jan (1626) [Künstler:in];De Redorijkers (Rederijkers) / Die vier Rhetoriker;;"auf der Rückseite Aufkleber mit Inventarnummer und Siegel; signiert";Jan Steen;Q205863;;2.0
594420;Rotari, Pietro Antonio (Conte) [Künstler:in];Ein paar Gegenstücke;;"mit Brustbildern junger Mädchen; verso ggfs. alte Schlossinventarnummern und Besitzvermerke: Königlich-sächsische Secondogenitur oder Königliche Garde-Meubles-Verwaltung";Pietro Antonio Conte Rotari;;;10.0
584379;Cabezalero, Juan Martín [Künstler:in];Ferdinand III voor Sevilla / Ferdinand III. von (vor) Sevilla;;"Auf der Rückseite Aufkleber mit Inventarnummer und Siegel (sh. PDF ""GoudstikkerArtResearchProject.PDF"").";Juan Martín Cabezalero;Q8480623;;2.0
583687;Unverdroß, R.O. [Künstler:in];Herbstwald;;bezeichnet;RO Unverdroß;;;1.0
308740;Ryckaert, David [Künstler:in];Bauerninterieur;;An einem gedeckten Tisch sitzt hintenübergelehnt links ein alter Bauer in roter Jacke, der mit beiden Händen ein Bierglas hochhält. Rechts sitzt eine junge Frau in gelbem Rock und weißer Jacke, auf deren Knie sich ein stehendes, blaugekleidetes Mädchen stützt, das in der Hand einen Apfel hält. Hinter der Frau ein zweites Kind. In der Mitte ein sich umarmendes Paar. Rechts ein stehender Bauer mit einer Forke in der Hand. Dahinter ein zweiter Bauer mit nach oben gestreckten Armen. Im Hintergrund links am Herd drei Männer. Rechts Ausblick auf den Bauernhof. Goldener Rahmen. Aus ehemaligem kaiserlichem Besitz.;David Ryckaert;Q20205301;;2.0
577689;Pechstein, Max [Künstler:in];Waldlandschaft;1919 [Datierung];"Bez. rechts unten H M P 1919 (zusammen); Kiefernwald und Birken im Gegenspiel kräftig zuckender und ruhig grader Linien, denen sich aufglühende und lichtzarte Farben charakterisierend verbinden: Rotbraun mit Grün, Gelborange, Hellgrün und Weiss. Im Waldboden Karmin mit Gelb und Grün, im Vordergrund ein breiter Weg in Gelboranger Färbung. Grüne Grasbüschel. Viel Braun an und zwischen Stämmen und Kronen, das eine räumlich schwingende atmosphärische Auflockerung in das Bild trägt;vgl. Soika-WVZ zu Nr. 1919/31 („Sonnenflecken im Wald“): „Das Gemälde ähnelt der Bildbeschreibung von ‚Waldlandschaft‘ im Sammlungsinventar Littmann.“ (mit Abb.)";Max Pechstein;Q162105;1919;12.0
444931;Nay, Ernst Wilhelm [Künstler:in];Gladiolen;1933 [Datierung];;Ernst Wilhelm Nay;Q644630;1933;1.0
406122;Weisgerber, Albert [Künstler:in];Mädchen im spanischen Kostüm;1908 [Datierung];"sign. Weisgerber 08; die Braut des Künstlers im hellen Gewand mit schwarzem Spitzenschleier mit Rosen geschmückt";Albert Weisgerber;Q451003;1908;1.0
533391;Savery, Roelant [Künstler:in];Landschaft;;ggf. Arbeit von Adriaen van Stalbemtim Vordergrund Bäume davor sitzende Dame im Gespräch mit einem Wanderer, im Hintergrund zwei Häuser mit kleinen Figuren;Roelant Savery;;;1.0
594405;Lach, Andreas [Künstler:in];Blumenstilleben;1841 [Datierung];bezeichnet links unten: A. Lach pinx 1841;Andreas Lach;Q499160;1841;1.0
305907;Daumier, Honoré [Künstler:in];Deux Têtes/ Köpfe/ Bauernköpfe;;rechts unten H.D.;Honoré Daumier;Q187506;;3.0
583654;Sandrock, L. [Künstler:in];Schiffer auf einem Schlepper beim Mittagsmahl;;bezeichnet;L Sandrock;;;2.0
534398;Brandes, Heinrich [Künstler:in];Erdbeerenstilleben;;Quelle: PL - AP Wrocław, RW, I/16886.;Heinrich Brandes;Q1596815;;1.0
583690;Wauerhold, ? [Künstler:in];Segelschiffe im Morgenrot;;bezeichnet;Wauerhold (?);;;1.0
308702;Kalf, Willem [Künstler:in];Stilleben;;"Auf einer steinernen Tischplatte, von der rechts ein buntfarbiger Teppich herunterhängt, steht in einer Silberplatte ein Nautilusbecher in reicher Goldmontierung. Rechts an dessen Fuß eine chinesische Porzellanschale mit drei Oliven. Dahinter ein halbgefüllter Römer. Links eine Orange und eine Uhr mit blauem Band. Dunkler Hintergrund. Goldrahmen. Ehemaliger kaiserlicher Besitz. Wahrscheinlich im 17. Jahrhundert aus dem Besitz der Oranier nach Berlin gelangt. Ausstellung ""Het Stilleven"". Amsterdam 1933. Kat.-Nr. 145";Willem Kalf;Q28144;;1.0
580664;Vlaminck, Maurice de [Künstler:in];Landschaft (?);;;Maurice de Vlaminck;;;4.0
406119;Purrmann, Hans [Künstler:in];Anemonen in brauner Vase;;sign. H. Purrmann;Hans Purrmann;;;6.0
578968;Stampart, Franz [Künstler:in];Portrait der Fürstin Eleonore Amalie zu Schwarzenberg;1731 [Datierung];Literatur: Hradní Muzeum Český Krumlov (ISBN 978-80-85033-29-8), mit Abb.;Franz Stampart;;1731;2.0
