Lost Art ID;Hersteller/Künstler/Autor:in;Titel;Datierung;Beschreibung;namen_neu;Q_Nummer;datum_neu;datum_alt;spalte
5000000439;Bol, Ferdinand (wohl Kopie nach) [Künstler:in];Eine junge Frau mit drei Kindern als Caritas;;;Ferdinand wohl Bol (?);;0;0;1
275988;Liebermann, Max [Künstler:in];Altmännerhaus;1880 [Datierung];Altmännerhaus in Amsterdam - Studie;Max Liebermann;;1880;0;1
573854;Brusasorzi, Domenico [Künstler:in];Madonna;;Madonna mit dem Jesuskind und Engeln. In der Bildmitte sitzt die große Kniefigur der Madonna in hellrosa Kleid, himmelblauem Mantel und weißem, bläulich changierendem Kopftuch, an einen Felsen gelehnt, das schlafende, nackte Jesuskind auf weißer Windel vor sich haltend. Sankt Joseph links, violett und orangefarben gekleidet, und zwei Engel rechts in rötlich-orangefarbenen bzw. blauen Kleidern, flankieren die Mittelgruppe. Hinten wird in einer Lücke zwischen den Personen der Kopf eines Rindes sichtbar. Quelle: Lempertz Auktion, Gemälde Alter Meister, Porzellan / Fayence, Katalog 403, Lot 5;Domenico Brusasorzi;;0;0;1
308744;;Speisung der Fünftausend;;"In der Mitte steht Christus, umgeben von fünf Jüngern. Er hält in seiner Hand die fünf Brote, und vor ihm steht ein Knabe mit den beiden Fischen in der Hand. Zu beiden Seiten die anderen Jünger, die an das Volk aus Körben Brot verteilen. Hügelige Landschaft mit Bäumen. Goldrahmen. Gutachten: R. van Marle (""...frühe Zeit des Meisters...""). 29.12.1929";;Q85221364;0;0;1
576184;Quast, Pieter Jansz. [Künstler:in];Szenen aus dem Bauernleben;;signiertQuelle: WGA Akte;Pieter Jansz Quast;;0;0;1
579001;Hamilton, Johann Georg de [Künstler:in];Mastiff Hündin;1700/1730 [Datierung];"Literatur: Johann Georg de Hamilton (1672-1737) Malíř zvířat a lidí, Ludmila Ourodová-Hronková (ISBN 978-80-85033-66-3), mit Abb.; The Hamilton Brothers- aristocratic hunting paintings in the 18th Century“, Ludmila Ourodová-Hronková (ISBN 978-80-85033-73-1), mit Abb.";Johann Georg de Hamilton;Q12059431;1700;0;1
578988;Hamilton, Johann Georg de [Künstler:in];Gesatteltes Pseudo Albino Pferd mit Stallburschen;1705 [Datierung];"Literatur: Johann Georg de Hamilton (1672-1737) Malíř zvířat a lidí, Ludmila Ourodová-Hronková (ISBN 978-80-85033-66-3), mit Abb.; The Hamilton Brothers- aristocratic hunting paintings in the 18th Century“, Ludmila Ourodová-Hronková (ISBN 978-80-85033-73-1), mit Abb.";Johann Georg de Hamilton;Q12059431;1705;0;1
308752;Tiepolo, Giovanni Battista [Künstler:in];Die heilige Anna mit der heiligen Maria;;"Die heilige Anna in hellgrauem Kopftuch neigt sich zu der blonden, blauäugigen Maria, die sie auf den Armen hält. Das Kind ist mit einem leuchtend blauen Mantel bekleidet und hält einen Vogel in der linken Hand. Hellblauer Hintergrund. Goldener Rahmen. Gutachten: Alexandre Benois, Marius Paulme, Voß (""...charakteristische eigenständige Schöpfung des G.B. Tiepolo aus der reifen Zeit seines Schaffens...Einfachheit der Erfindung und Kühnheit der Kontrastwirkung vereinigen sich mit dem unvergleichlichen Zauber der Tierpolesken Palette zu einem Werke von seltener Geschlossenheit und Stärke des Eindruckes."") 24.10.28. Aus venezianischem Besitz.";Giovanni Battista Tiepolo;;0;0;1
586407;Haanen, Remigius Adrianus van [Künstler:in];Meerlandschaft;;signiert;Remigius Adrianus van Haanen;;0;0;1
596165;"Toorenvliet, Jacob (?) [Künstler:in]
Monogrammist J.T.vliet, J.T. Vliet (?) [Künstler:in]";Interior / Die Spieler;;"auf der Rückseite Aufkleber mit Inventarnummer und Siegel; vier Kavaliere, um einen Tisch gruppiert. Zwei spielen Karten, die beiden anderen rauchen und schauen zu";;;0;0;1
589420;Slevogt, Max [Künstler:in];Don Quichotte steht vor einen vergitterten Holzkarren;1907 [Datierung];"signiert (unten rechts); „In diesem Abenteuer begegnet Don Quichotte einem Transport, mit dem ein wilder Löwe zum König gebracht werden soll. ‚Ist dieser Löwe stark und mutig genug, um sich mit mir im Kampf zu messen?‘ ruft der hagere Ritter, der sein Schwert gezogen hat. ‚Öffnet das Gitter und zieht Euch zurück.‘ Der Löwe war dumpf brüllend aus seinem Käfig gesprungen, um sich im Sprung auf sein Opfer zu stürzen. Doch dann ein unerwarteter Ausgang, Rosinante galoppiert auf die Bestie zu und der Löwe schleicht sich mit eingezogenem Schwanz zurück in den Käfig und kein Schimpfen oder Schmähen kann den König der Wüste wieder zum Kampf bewegen. Diesen unerwarteten Moment hat Slevogt dargestellt, Raubtier und Ritter sind wie erstarrt, nur das Schwert und der Schwanz der Kontrahenten bewegen sich noch“. (UW)";Max Slevogt;;1907;0;1
444921;Liebermann, Max [Künstler:in];"Figurenstudie zum ""Altmännerhaus in Amsterdam""";1880 [Datierung];Nachlass-Stempel;Max Liebermann;Q158062;1880;0;1
578998;Hamilton, Johann Georg de [Künstler:in];"Grauweisses Pferd ""Infantigable""";1711 [Datierung];Literatur: Johann Georg de Hamilton (1672-1737) Malíř zvířat a lidí, Ludmila Ourodová-Hronková (ISBN 978-80-85033-66-3), mit Abb.;Johann Georg de Hamilton;Q12059431;1711;0;1
308018;Netscher, Caspar [Künstler:in];Gesellschaftsszene;;Ein vornehm gekleideter Herr ist zur Terrasse eines Luftschlosses emporgestiegen, wo er von einer weiß gekleideten Dame mit blauer, goldgestickter Schürze mit einem Glas Wein empfangen wird. Links hinten Tisch mit Perserdecke, auf dem eine Dienerin Wein Eingießt. Im Halbdunkel Lakai mit Windhund. Ausblick auf Garten. Goldrahmen. Versteigerung H. G. Nahuys van Burgst, Antwerpen, 13. September 1858. Nr. 1.;Caspar Netscher;Q217715;0;0;1
527259;Köhler, Gustav [Künstler:in];Die Neuigkeit;;signiert, ein Bauer berichtet einer am Tisch sitzenden Versammlung von einem interessanten Geschehnis;Gustav Köhler;Q1556122;0;0;1
579025;Hamilton, Johann Georg de [Künstler:in];Stilleben mit erlegtem Wild;1700/1725 [Datierung];"Literatur: Johann Georg de Hamilton (1672-1737) Malíř zvířat a lidí, Ludmila Ourodová-Hronková (ISBN 978-80-85033-66-3), mit Abb.; The Hamilton Brothers- aristocratic hunting paintings in the 18th Century“, Ludmila Ourodová-Hronková (ISBN 978-80-85033-73-1), mit Abb.";Johann Georg de Hamilton;Q12059431;1700;0;1
583689;Vollerdt, Johann Christian [Künstler:in];Romantische Landschaft;1761 [Datierung];bezeichnet: Vollerdt 1761;Johann Christian Vollerdt;Q3808839;1761;0;1
591210;Matejko, Jan [Künstler:in];Ohne Titel;;;Jan Matejko;;0;0;1
595978;Goya y Lucientes, Francisco José de [Künstler:in];Bedelarese / Bettlerin;;"Bettlerin in ganzer Figur vor tiefem Horizont in einer Landschaft; auf der Rückseite Aufkleber mit Inventarnummer und Siegel";Francisco José de Goya y Lucientes;;0;0;1
578991;Hamilton, Johann Georg de [Künstler:in];"Gesatteltes braunweisses Pferd ""Sod. Oro""";1705 [Datierung];Literatur: Johann Georg de Hamilton (1672-1737) Malíř zvířat a lidí, Ludmila Ourodová-Hronková (ISBN 978-80-85033-66-3), mit Abb.;Johann Georg de Hamilton;Q12059431;1705;0;1
576186;Rijn, Rembrandt Harmensz. van [Künstler:in];Quelle im Wald;;Beginnende Dämmerung im Walde, wo ein Mädchen an der Quelle Wasser schöpft.;Rembrandt Harmensz van Rijn;;0;0;1
592009;Klimt, Gustav [Künstler:in];Skizze zur Philosophie (Kompositionsentwurf);1898 [Datierung];"nach Weidinger, Nr. 117: Philosophie (Kompositionsentwurf), Datierung: 1898, Format: unbekannt, Technik: Öl auf Leinwand, bez. r. U.: »GUSTAV / KLIMT"" , Provenienz: O. Miethke, Wien; August und Serena Lederer, Wien (erw, 1905); Erich Lederer, Genf; Ausstellungen: Wien (Neue Galerie, XXIII. Ausst.} 1926 (ohne Kat.}; Wien (Secession) 1936, Nr. 3a";Gustav Klimt;;1898;0;1
594413;Opie, John [Künstler:in];Bildnis einer vornehmen jungen Frau;;;John Opie;;0;0;1
579002;"Hamilton, Johann Georg de (?) [Künstler:in]
Hamilton, Philipp Ferdinand de (?) [Künstler:in]";Brauner Mastiff;1700/1730 [Datierung];"Literatur: Johann Georg de Hamilton (1672-1737) Malíř zvířat a lidí, Ludmila Ourodová-Hronková (ISBN 978-80-85033-66-3), mit Abb.; The Hamilton Brothers- aristocratic hunting paintings in the 18th Century“, Ludmila Ourodová-Hronková (ISBN 978-80-85033-73-1), mit Abb.";;;1700;0;1
592018;Klimt, Gustav [Künstler:in];Philosophie (Die philosophische Fakultät vollendet);1900-1907 [Datierung];"nach Weidinger, Nr. 138: Philosophie, Datierung: 1900-1907, Format: 430 x 300 cm, Technik: Öl auf Leinwand, bez. r. U.: ""GUSTAV KLIMT"", Provenienz: K. K. Ministerium für Unterricht, Wien (in Auftrag gegeben am 4. Sept. 1894; von Klimt zurückgekauft am 25. Mai 1905); August und Serena Lederer; Wien (1905 erw.); Erich Lederer, Genf; Österreichische Galerie, Wien (1944 erw.)Ausstellungen: Wien (secession, VII. Ausst.) 1900, Nr. 22 (nur bis Ende März ausgestellt); Paris (Weltausst.) 1900, Secession-Saal, Nr. 5; Dresden (Internationale Kunstausst.) 1901, Nr. 353; Wien (secession, XVIII. Ausst.) 1903104, Nr. 23; Berlin (Kunsthandlung Keller & Reiner) 1907 (ohne Kat.); Wien (Galerie Miethke) 1907 (ohne Kat.); Wien (Ausstellungshaus Friedrichstraße, ehemalige Secession) 1943, Nr. 6 (Abb. 6), Skizzen: Strobl, I, Nr. 455-488; Strobl, IV, Nr. 3334-3364";Gustav Klimt;Q34661;1900;0;1
584747;Flinck, Govert [Künstler:in];Portret van een her / Herrenporträt;1649 [Datierung];Signiert und datiert rechts: 1649;Govert Flinck;Q550401;1649;0;1
576177;"Teniers, David (1) (?) [Künstler:in]
Teniers, David (2) (?) [Künstler:in]
Teniers, David (3) (?) [Künstler:in]";Tiere von der Weide zurückkehrend;;signiertQuelle: WGA Akte;;;0;0;1
584919;Longhi, Alessandro [Künstler:in];"Mansportret; Mannerportet (in lichtrode toga) / Porträt eines Mannes";;auf der Rückseite Aufkleber mit Inventarnummer und Siegel;Alessandro Longhi;Q1855242;0;0;1
583695;Witt, Jacob de [Künstler:in];Puttenfries;;Ein in Grisaille gemalter Fries spielender und musizierender Kinderputten. Links an einem Tisch sitzen musizierende Putten mit Trommel, Geige und Schalmei. In der Mitte tanzende Putten. Rechts Putten mit Attributen der Landwirtschaft und der Jagd, versammelt um ein Schaf mit einem Lamm, unbezeichnet;Jacob de Witt;Q935131;0;0;1
534363;Langhammer, Carl (1868) [Künstler:in];Landschaft mit Gänseteich;;Quelle: PL - AP Wrocław, RW, I/16886.;Carl Langhammer;Q1039370;0;0;1
578995;Hamilton, Johann Georg de [Künstler:in];"Gesatteltes braunes Pferd ""Covrasson""";1706 [Datierung];Literatur: Johann Georg de Hamilton (1672-1737) Malíř zvířat a lidí, Ludmila Ourodová-Hronková (ISBN 978-80-85033-66-3), mit Abb.;Johann Georg de Hamilton;Q12059431;1706;0;1
595981;Hals, Frans (2) [Künstler:in];Jonge met hoed / Junge mit Hut;;auf der Rückseite Aufkleber mit Inventarnummer und Siegel;Frans Hals;Q167654;0;0;1
472405;Troyon, Constant [Künstler:in];Kuh auf der Weide (Vache sur un paturage);;"u. l. Stempel der ""Vente Troyon""";Constant Troyon;;0;0;1
580685;Signac, Paul [Künstler:in];Strasse;;;Paul Signac;Q151573;0;0;1
534390;Bertram-Hartmann, C. [Künstler:in];Birken;1912 [Datierung];Quelle: PL - AP Wrocław, RW, I/16886.;C Bertram-Hartmann;;1912;0;1
576181;Rombouts, Adriaen [Künstler:in];Spielende Bauern bei Karten und Bier;;signiertQuelle: WGA Akte;Adriaen Rombouts;Q41308510;0;0;1
308762;Wilson, Richard [Künstler:in];Landschaft;;Am Rande eines Wasserlaufes in der Mitte vorn zwei sitzende Frauen im Gespräch mit einem stehenden Ritter, der ein rotes Gewand und eine rote Kappe trägt. Am Boden liegt eine Laute. Rechts felsiges Ufer mit Waldpartie, links im Mittelgrund ein Wasserfall. In der Ferne ein Gebirge, das von der untergehenden Sonne beschienen wird. Goldener Rahmen.;Richard Wilson;Q358679;0;0;1
583587;Deußer, August [Künstler:in];Niederrheinische Landschaft mit Rheindampfer;;bezeichnet;August Deußer;;0;0;1
308755;Tischbein, Johann Heinrich (der Ältere) [Künstler:in];Doppelbildnis von Friedrich von Eyben und seiner Gemahlin;;"Lebensgroßes Doppelbildnis, Kniestück. Die Dame am Tisch sitzend, in Silbergrau und Blau, ihr Gemahl hinter ihr stehend in goldgelber Weste mit dunkelgrauem Rock; als Abschluß mattweinroter Vorhang. Auf der Rückseite die zeitgenössische Inschrift: ""Friedrich v. Eyben, Geh. Rat in Nassau-Oranischen Diensten, 1754 Minister in Hessen-Kassel, starb auf seinen Gütern in Mecklenburg, und seine Gemahlin geb. Gräfin Görz, Tochter des 1719 zu Stockholm enthaupteten Grafen Görz.""; Goldener Rahmen.";Johann Heinrich Tischbein the Elder;;0;0;1
583625;Lucas, Willy [Künstler:in];Der Bahnhofsvorplatz in Düsseldorf;;bezeichnet;Willy Lucas;;0;0;1
257581;Schmidt-Rottluff, Karl [Künstler:in];Mohn (Blumenstück);1922 [Datierung];;Karl Schmidt-Rottluff;Q161143;1922;0;1
527251;Hughtenburg, C. v. [Künstler:in];Hügellandschaft mit Hirschjagd;1700 (um) [Datierung];signiert;C v Hughtenburg;;0;1700;1
308045;Wouwerman, Philips [Künstler:in];Hirschjagd;;"Hirsch und Hindin stürzen sich, von Hunden verfolgt, in einen Fluß, an dessen rechtem Ufer sie von zwei mit Speeren bewaffneten Jägern erwartet werden. Den Tieren folgen eine berittene Dame und ein Herr, der im Begriff ist ins Wasser zu fallen. Links ein weiterer Jäger zu Pferd und ein Diener. Gebirgige Landschaft mit Felsschloß und Landhäusern. Unten etwa 3 cm angestückt. Goldrahmen. Ehemals Petersburg, Eremitage. Kat. 1901, Nr. 1036 (aus Sammlung Graf Brühl). Bezeichnet links unten mit Monogramm. Gestochen: Moyreau, 1747. Nr. 56 als ""L´accident du chasseur"", und von Tischler.";Philips Wouwerman;Q454671;0;0;1
579034;Philippot, Charles Louis [Künstler:in];Johann Adolf II zu Schwarzenberg;1852 [Datierung];Literatur: Hrady a Zámky, Petr Pavelec (ed.) (ISBN 978-80-87890-05-9), mit Abb.;Charles Louis Philippot;;1852;0;1
581589;Meyerheim, Friedrich Eduard [Künstler:in];Damenbildnis;1844 [Datierung];Damenbildnis, Kniestück, in weißem Biedermeierkostüm, vor Landschaft sitzend. Rechts unten bezeichnet: E. Meyerheim 1844;Friedrich Eduard Meyerheim;;1844;0;1
583903;Aertsen, Pieter [Künstler:in];Keukenstuk / Küchenszene (Küche im Freien);;"auf der Rückseite Aufkleber mit Inventarnummer und Siegel (siehe PDF ""GoudstikkerArtResearchProject.PDF"")";Pieter Aertsen;Q326548;0;0;1
586852;Nemec, Karel (1879) [Künstler:in];Landschaft;;;Karel Nemec;;0;0;1
586857;Sturm-Skrla, Egge [Künstler:in];Mutter mit Kind;;;Egge Sturm-Skrla;;0;0;1
580673;Schmidt, Wilhelm [Künstler:in];Musikkapelle;;;Wilhelm Schmidt;Q62827;0;0;1
449597;Max, Columbus Josef [Künstler:in];Kinderbildnis in Landschaft;1918 [Datierung];rechts unten bezeichnet: C. Max 1918;Columbus Josef Max;;1918;0;1
583917;"Beerstraten, Abraham (der Ältere) [Künstler:in]
Looten, Jan [Künstler:in]
Beerstraten, Jan Abrahamsz (1622 - der Ältere) [Künstler:in]";Wintergezicht / Holländisches Dorf im Winter;;"signiert, auf der Rückseite Aufkleber mit Inventarnummer und Siegel (siehe PDF ""GoudstikkerArtResearchProject.PDF"")";;;0;0;1
275980;Hodler, Ferdinand [Künstler:in];Am Thuner See / Aarekanal bei Thun;1879/1880 [Datierung];"Aarelandschaft bei Thun; bez. unten rechts: 1880. F. Hodler, darunter ältere Signatur: Ferd. Hodler, am rechten Bildrand Spuren der originalen Signatur: F. HOD [...] Literatur: Oskar Bätschmann/Paul Müller, Ferdinand Hodler: Catalogue raisonné der Gemälde. Band 1: Die Landschaften, Zürich, 2008 (Nr. 83, Abb. S. 51)";Ferdinand Hodler;;1879;0;1
583124;Victors, Jan [Künstler:in];Die Ehrung des Mardochai;1601/1700 [Datierung];Die auf dem Gemälde dargestellte biblische Szene rekurriert auf das sogenannte Alte Testament: Buch Esther 6,7-11. Der Jude Mardochai wird mit königlichem Gewand und Kopfschmuck ausgestattet, auf einem Pferd reitend, durch die Straßen geführt und geehrt.;Jan Victors;;1601;0;1
527249;Lambrechts, Jan Baptist [Künstler:in];Zwei Gesellschaftsszenen;;Gegenstücke;Jan Baptist Lambrechts;;0;0;1
308696;Heusch, Abraham de [Künstler:in];Stilleben;;Auf einem Marmortisch mit zurückgeschlagener roter Decke steht eine blaue Schüssel mit Pfirsichen und einer Orange. Davor eine Flöte und Rosen. Daneben auf einem zinnernen Teller ein Römer, über dessen Rand eine Zitronenschale herabhängt, und Weintrauben. Dahinter ein irdener Krug. Im Mittelgrund ein herabwallender blauer Vorhang und der Fuß einer Säule. Links Ausblick auf bewaldete Ferne. Bezeichnet A. de Heusch f. Holzrahmen.;Abraham de Heusch;Q4669273;0;0;1
591196;;Ein Händler vor einer Fischauslage, mit einem großen Messer in der Hand;;;;Q85221364;0;0;1
583630;Moucheron, Frederick de [Künstler:in];Ansicht von Rom;;Mit Engelsburg, St. Peter und Tiberbrücke mit Figurenstaffage, unbezeichnet;Frederick de Moucheron;;0;0;1
580687;Monticelli, Adolphe Joseph Thomas (?) [Künstler:in];Frauen und Kinder im Park;;;Adolphe Joseph Thomas Monticelli (?);Q1152965;0;0;1
308693;Hagen, Joris van der [Künstler:in];Ansicht von Amersfoort;;In der weiten Ebene links die Stadt Amersfoort. Im Vordergrund Reiter vor einem Zelt. Im Mittelgrund Häuser zwischen Bäumen und in der Ferne Anhöhen. Blauer Wolkenhimmel. Goldener Rahmen.;Joris van der Hagen;;0;0;1
586959;Becker, Anton [Künstler:in];Bildnis eines Dackels;;Bezeichnet: A. Becker. G.R.;Anton Becker;Q588221;0;0;1
582641;Belay, Pierre de [Künstler:in];Marine;;kleines Gemälde, bezeichnet;Pierre de Belay;;0;0;1
586788;Beran, Paul [Künstler:in];Porträt einer Dame;;;Paul Beran;;0;0;1
308760;Michieli, Andrea [Künstler:in];Dogensitzung;;In einem mit Statuten reich verzierten Renaissancesaal sitzen im Hintergrund erhöht auf Stufen die rot gekleideten Dogen. Vor ihnen in der Mitte auf einem Sessel sitzend ein vornehmer Herr, der die Züge Karls V. trägt, und der einem dunkel gekleideten Greis eine Schrift mit einem Siegel überreicht. Zu beiden Seiten vornehm gekleidete Zuschauer. Goldener Rahmen. Aus englischem Besitz.;Andrea Michieli;;0;0;1
591212;;Ein Kind in einem Nationalkostüm in einer Wiese sitzend;;;;Q85221364;0;0;1
527266;Ruisdael, Jacob Isaackszoon van (Kreis des) [Künstler:in];Landschaft mit Wasserfall;1651/1700 [Datierung];Zur Rechten Gruppe alter Eichen, im Flußbett große Felsblöcke, links auf dem Steilufer ein Tannenwäldchen;Jacob Isaackszoon van Ruisdael (?);;1651;0;1
584759;Ghislandi, Fra Vittore [Künstler:in];Damesportret (Contessa Colleoni) / Porträt einer Dame (Contessa Colleoni);;;Fra Vittore Ghislandi;;0;0;1
579005;Hamilton, Johann Georg de [Künstler:in];weiß-brauner Mastiff;1730 [Datierung];Literatur: Johann Georg de Hamilton (1672-1737) Malíř zvířat a lidí, Ludmila Ourodová-Hronková (ISBN 978-80-85033-66-3), mit Abb.;Johann Georg de Hamilton;Q12059431;1730;0;1
595985;Heda, Gerrit Willemsz. (Art des) [Künstler:in];Kreeft / Hummer;;"Krebs auf steinerner Tischplatte. Olivgrüner Hintergrund; auf der Rückseite Aufkleber mit Inventarnummer und Siegel";Gerrit Willemsz Heda (?);;0;0;1
589411;Slevogt, Max [Künstler:in];Paradiesvögel;1900 [Datierung];"bez: M. Slevogt (oben rechts). Rückseitig mit grünem Stift Besitzerangabe mit ""Fuchs"" bezeichnet;„Zwei Vitrinen, wahrscheinlich aus einem naturkundlichen Museum, zeigen ausgestopfte Paradiesvögel. Vor der ersten ist noch eine Trompetenmuschel platziert. „Tief in den Regenwäldern der großen Insel Neuguinea leben die „schönsten und außergewöhnlichsten gefiederten Bewohner der Erde“ schrieb der berühmte britische Naturforscher Alfred Russel Wallace, als er Mitte des 19. Jahrhunderts auf seiner Südostasien-Reise zum ersten Mal Paradiesvögel beobachtete. Kein Tier der Welt veranstaltet einen so feurigen Balztanz wie das Paradiesvogel-Männchen. Diese schillernden Exoten sind mit unseren Krähen verwandt“. (UW) „Eines der schönsten Bilder (der) letzten Münchner Zeit (…) sind die ‚Paradiesvögel’ von 1900, ein Juwel der stattlichen Reihe bester Werke Slevogts, welche die Sammlung Fuchs besitzt“, schreibt W. von Alten im „Kunstblatt“ von 1926.";Max Slevogt;Q703356;1900;0;1
583624;Liscewsky (Familie) [Künstler:in];Damenbildnis;;unbezeichnet;Liscewsky Familie;;0;0;1
527252;Tamm, Franz Werner von [Künstler:in];Florabüste auf skulptiertem Steinsockel mit Blumen und Früchten;;rechts unten undeutlich bezeichnet;Franz Werner von Tamm;;0;0;1
449605;"Magnasco, Alessandro (auch zugeschrieben) [Künstler:in]
Titius, ? [Künstler:in]";Hügellandschaft;;Lichter Wald, rechts zwei Männer an einem Feuer, rechts unten bezeichnet: Titius;;;0;0;1
573868;Magnasco, Alessandro [Künstler:in];Kleine Landschaft;;Kleine Landschaft mit Kastell im Hintergrund. Durch die von Bäumen und Buschwerk zusammengefasste vordere Mitte, wo zwei Frauen den Schauplatz szenisch beleben, blickt man in eine klare, von weißen Wolkenballen überzogene Berglandschaft, aus deren Mitte ein schlanker Turm und ein Rundkastell ragen. Quelle: Lempertz Auktion, Gemälde Alter Meister, Porzellan / Fayence, Katalog 403, Lot 31;Alessandro Magnasco;Q516941;0;0;1
574797;Nolde, Emil [Künstler:in];Im Alter;1918 [Datierung];"Literatur: National-Galerie (Hrsg.), Ausstellung neuerer deutscher Kunst aus Berliner Privatbesitz. Ausstellung April 1928. Berlin 1928; Martin Urban (Hrsg.), Emil Nolde. Werkverzeichnis der Gemälde. Volume II. 1915 - 1951. München 1990. Nr. 780Quelle: John Lowden, Hugo Herbert Buchthal. In: Proceedings of the British Academy. 105(2000), S.309-336, hier S. 312; D - ZA SMB, I/NG 719, Blatt 45; Bürgerstolz II. Kunst aus Kölner Privatbesitz. 1880 - 1952. Köln 1994. Kat. Nr. 27.";Emil Nolde;Q152788;1918;0;1
583600;Gerhardinger, C. [Künstler:in];Vorfrühlingsstimmung in Oberbayern;;bezeichnet;C Gerhardinger;;0;0;1
306026;Thoma, Hans [Künstler:in];Anbetung des Christuskindes durch die Weisen aus dem Morgenland;1873 [Datierung];bez. Hans Thoma 1873;Hans Thoma;Q678094;1873;0;1
578959;Coninck, David de [Künstler:in];Hatz auf Bären;1645/1655 [Datierung];Literatur: Johann Georg de Hamilton (1672-1737) Malíř zvířat a lidí, Ludmila Ourodová-Hronková (ISBN 978-80-85033-66-3), mit Abb.;David de Coninck;Q1177351;1645;0;1
580669;Liebermann, Max [Künstler:in];Holländisches Bauernhaus;;;Max Liebermann;Q158062;0;0;1
305762;Vecellio, Tiziano [Künstler:in];Jünglingsporträt;;Vor mattblauem Grunde Brustbild eines Jünglings mit langem, braunen Haar, der den Betrachter anblickt. Über einem weißen Unterkleid dunkles, gemustertes Brokatgewand.;Tiziano Vecellio;;0;0;1
